id,familia,variante
31,Álgica,Kickapoo
32,Yuto-nahua,Pápago
33,Yuto-nahua,Pima
34,Yuto-nahua,Tarahumara (Rarámuri)
35,Yuto-nahua,Guarijío
36,Yuto-nahua,Yaqui (Jiak Noki)
37,Yuto-nahua,Cora
38,Yuto-nahua,Huichol (Wixárika)
39,Yuto-nahua,Náhuatl
40,Yuto-nahua,Tepehuano del norte
41,Yuto-nahua,Tepehuano del sur
42,Cochimí-yumana,Cucapá
43,Cochimí-yumana,Kiliwa
44,Cochimí-yumana,Paipai
45,Cochimí-yumana,Kumiai
47,Seri,Seri
48,Oto-mangue,Otomí (Hñähñu)
49,Oto-mangue,Mazahua
50,Oto-mangue,Matlatzinca
51,Oto-mangue,Tlahuica
52,Oto-mangue,Pame
53,Oto-mangue,Chichimeco jonaz
54,Oto-mangue,Chinanteco
55,Oto-mangue,Tlapaneco
56,Oto-mangue,Mazateco
57,Oto-mangue,Ixcateco
58,Oto-mangue,Chocholteco
59,Oto-mangue,Popoloca
60,Oto-mangue,Zapoteco
61,Oto-mangue,Chatino
62,Oto-mangue,Amuzgo
63,Oto-mangue,Mixteco
64,Oto-mangue,Cuicateco
65,Oto-mangue,Triqui
66,Maya,Huasteco
67,Maya,Maya Yucateco
68,Maya,Lacandón
69,Maya,Ch'ol
70,Maya,Chontal de Tabasco
71,Maya,Tseltal
72,Maya,Tsotsil
73,Maya,Q'anjob'al
74,Maya,Akateko
75,Maya,Jakalteko
76,Maya,Q'eqchi'
77,Maya,K'iche'
78,Maya,Kaqchikel
79,Maya,Teko
80,Maya,Awakateko
81,Maya,Mam
82,Maya,Ixil
83,Maya,Tojolabal
84,Maya,Chuj
85,Totonaco-tepehua,Totonaco
86,Totonaco-tepehua,Tepehua
87,Tarasca,Purépecha (Tarasco)
88,Mixe-zoque,Mixe
89,Mixe-zoque,Sayulteco
90,Mixe-zoque,Oluteco
91,Mixe-zoque,Zoque
92,Mixe-zoque,Popoluca de la Sierra
93,Mixe-zoque,Texistepequeño
94,Mixe-zoque,Ayapaneco
95,Chontal de Oaxaca,Chontal de Oaxaca
96,Huave,Huave
97,Cochimí-yumana,Ku'ahl
98,Maya,Qato'k
99,Yuto-nahua,Mayo
